,Date,Tweets
0,2020-04-07,"Tesla Inc. hit a big increase (+7.55), closed at 516.24 USD, 6 April 2020. There are some reasons that you should know 
 #Tesla #NASDAQ #Elonmusk #Auto #Investor #Leadership #Innovation #COIVD19 #Car  #Airpollution #Stock #Investment #TSLA #Trade

https://t.co/1MLm2V8Ph5 https://t.co/FqGZSXgtsH"
1,2020-04-06,"Keep up the good work, #Tesla #Dyson #Ford #GM. To quote High School musical, ""We're all in this together!""

#ventilators #lockdown #covid19 #Musk
https://t.co/ya403iYQxJ"
2,2020-04-06,"Tesla Inc closed at $516.24 (7.55%) 💹 Market Cap is now $95.045B
#TSLA #TSLAQ #Tesla #TeslaMotors #NASDAQ #EV #Automotive"
3,2020-04-06,"#Tesla Inc (NASDAQ: TSLA) jumped on #Monday more than 5% at the opening after #Jefferies #raised its #grade to #buy.

https://t.co/68WxRlvDB5

#Rakamoto #MondayThoughts #Blockchain #Crypto #Bitcoin #Digital #Money #Coins #Dollar #Banks"
4,2020-04-06,"Tesla Inc is now $512.79 (6.83%) 💹
#TSLA #TSLAQ #Tesla #TeslaMotors #NASDAQ #EV #Automotive"
5,2020-04-06,RT @teslaliving: Tesla Motors Inc (TSLA) stock rose by 6.8207%! Currently at 512.75. https://t.co/Salpg2wX5c #Tesla #Bot
6,2020-04-06,Congratulations #Tesla Motors Inc ($TSLA) stock is rising! Currently priced at 512.75. https://t.co/MdjUfuaPse @Tesla
7,2020-04-06,Tesla Motors Inc (TSLA) stock rose by 6.8207%! Currently at 512.75. https://t.co/Salpg2wX5c #Tesla #Bot
8,2020-04-06,"@Tronfoundation https://t.co/vKcvMrKsjG and https://t.co/lfMylTPfIL for sale? 

@cz_binance, might have to use @googlechrome, Yeah

#NAVINATION 

#Tesla #CyberTron #CyberTruck

It's sort of an #ICO #IEO

Check out our latest #Poll and vote for your favorite #EXCHANGE

👉https://t.co/8PmBFUp2Al https://t.co/45hKk8QMrB"
9,2020-04-06,"RT @PlanetPonzi: How To Spot A #StockMarket's Bubble Top?

Retail #Share Buyers Are Always Last To Buy At Irrational Highs - #FOMO 

 A #tr…"
10,2020-04-06,"#Tesla, #Inc. (NASDAQ:TSLA) engineers show ventilator prototype on YouTube: Tesla, Inc… https://t.co/Ub9v6vLtpG"
11,2020-04-06,"Tesla reveals its ventilator prototype on YouTube
Tesla Inc. engineers have shared a footage of a prototype ventilator that the company is making with auto parts for coronavirus patients. #tesla #teslainc #teslaventilators #covid19 https://t.co/eVzDiccA0j https://t.co/BAsNN9qanG"
12,2020-04-06,Tesla : engineers show ventilator prototype on YouTube #Tesla #Stock #MarketScreener https://t.co/hWWFptdaCY https://t.co/EPOQSWUHTu
13,2020-04-05,"@carsonight @CarlKoinberg @jpr007 @tslaqpodcast @JosephVVallace @ICannot_Enough @seanmmitchell @CrimesElon @TeslaHistorian @TroyTeslike These actions against #Tesla were perpetrated by an employee, Martin Tripp - who passed information on to @LinetteLopez,
https://t.co/1esslBY1hm"
14,2020-04-05,"Tesla : Coronavirus Lockdowns Clear the Air, but the Green Effect Could Be Fleeting #Tesla #Stock #MarketScreener https://t.co/0qTKkOYvun https://t.co/5K1ddBAHdE"
15,2020-04-04,"RT @The__Spot: Is Tesla -&gt; Biosolar Inc battery testing?

https://t.co/TltKxs4aYx
https://t.co/WkBOGpfMhy

They want to double the range.…"
16,2020-04-04,"Even as #Tesla Inc (NASDAQ: TSLA) #stock continues to soar, the #electric car manufacturer has begun retrenching contractors at its #U.#S. car and battery #plants.

https://t.co/bvAx83fA9S

#Rakamoto #SaturdayThoughts #Blockchain #Crypto #Bitcoin #Digital #Money #Coins #Dollar"
